Time_Minutes,Power_PerUnit,Description
418,-0.0313,"Frequency regulation signal (positive=discharge, negative=charge)"
419,-0.2792,"Frequency regulation signal (positive=discharge, negative=charge)"
420,0.4992,"Frequency regulation signal (positive=discharge, negative=charge)"
421,0.8193,"Frequency regulation signal (positive=discharge, negative=charge)"
422,0.3935,"Frequency regulation signal (positive=discharge, negative=charge)"
423,0.3417,"Frequency regulation signal (positive=discharge, negative=charge)"
424,0.1912,"Frequency regulation signal (positive=discharge, negative=charge)"
425,0.608,"Frequency regulation signal (positive=discharge, negative=charge)"
426,0.3847,"Frequency regulation signal (positive=discharge, negative=charge)"
427,0.5415,"Frequency regulation signal (positive=discharge, negative=charge)"
428,0.1923,"Frequency regulation signal (positive=discharge, negative=charge)"
429,-0.544,"Frequency regulation signal (positive=discharge, negative=charge)"
430,-0.1919,"Frequency regulation signal (positive=discharge, negative=charge)"
431,-0.0968,"Frequency regulation signal (positive=discharge, negative=charge)"
432,0.1615,"Frequency regulation signal (positive=discharge, negative=charge)"
433,0.0521,"Frequency regulation signal (positive=discharge, negative=charge)"
434,0.1693,"Frequency regulation signal (positive=discharge, negative=charge)"
435,0.2507,"Frequency regulation signal (positive=discharge, negative=charge)"
436,0.9251,"Frequency regulation signal (positive=discharge, negative=charge)"
437,0.2812,"Frequency regulation signal (positive=discharge, negative=charge)"
438,-0.0975,"Frequency regulation signal (positive=discharge, negative=charge)"
439,0.1253,"Frequency regulation signal (positive=discharge, negative=charge)"
440,0.4644,"Frequency regulation signal (positive=discharge, negative=charge)"
441,0.6016,"Frequency regulation signal (positive=discharge, negative=charge)"
442,0.0016,"Frequency regulation signal (positive=discharge, negative=charge)"
443,-0.0497,"Frequency regulation signal (positive=discharge, negative=charge)"
444,-0.4886,"Frequency regulation signal (positive=discharge, negative=charge)"
445,0.1206,"Frequency regulation signal (positive=discharge, negative=charge)"
446,0.3048,"Frequency regulation signal (positive=discharge, negative=charge)"
447,-0.0704,"Frequency regulation signal (positive=discharge, negative=charge)"
448,-0.3108,"Frequency regulation signal (positive=discharge, negative=charge)"
449,-0.4767,"Frequency regulation signal (positive=discharge, negative=charge)"
450,0.0717,"Frequency regulation signal (positive=discharge, negative=charge)"
451,0.6242,"Frequency regulation signal (positive=discharge, negative=charge)"
452,0.1801,"Frequency regulation signal (positive=discharge, negative=charge)"
453,0.1517,"Frequency regulation signal (positive=discharge, negative=charge)"
454,-0.1692,"Frequency regulation signal (positive=discharge, negative=charge)"
455,0.0231,"Frequency regulation signal (positive=discharge, negative=charge)"
456,0.3755,"Frequency regulation signal (positive=discharge, negative=charge)"
457,-0.0063,"Frequency regulation signal (positive=discharge, negative=charge)"
458,-0.3559,"Frequency regulation signal (positive=discharge, negative=charge)"
459,-0.6788,"Frequency regulation signal (positive=discharge, negative=charge)"
460,0.1719,"Frequency regulation signal (positive=discharge, negative=charge)"
461,0.0388,"Frequency regulation signal (positive=discharge, negative=charge)"
462,-0.2135,"Frequency regulation signal (positive=discharge, negative=charge)"
463,-0.3457,"Frequency regulation signal (positive=discharge, negative=charge)"
464,-0.4549,"Frequency regulation signal (positive=discharge, negative=charge)"
465,-0.1121,"Frequency regulation signal (positive=discharge, negative=charge)"
466,0.4205,"Frequency regulation signal (positive=discharge, negative=charge)"
467,0.4097,"Frequency regulation signal (positive=discharge, negative=charge)"
468,-0.1533,"Frequency regulation signal (positive=discharge, negative=charge)"
469,-0.2568,"Frequency regulation signal (positive=discharge, negative=charge)"
470,0.0688,"Frequency regulation signal (positive=discharge, negative=charge)"
471,-0.098,"Frequency regulation signal (positive=discharge, negative=charge)"
472,-0.1159,"Frequency regulation signal (positive=discharge, negative=charge)"
473,0.0351,"Frequency regulation signal (positive=discharge, negative=charge)"
474,-0.0819,"Frequency regulation signal (positive=discharge, negative=charge)"
475,-0.2176,"Frequency regulation signal (positive=discharge, negative=charge)"
476,0.2195,"Frequency regulation signal (positive=discharge, negative=charge)"
477,0.081,"Frequency regulation signal (positive=discharge, negative=charge)"
478,0.3376,"Frequency regulation signal (positive=discharge, negative=charge)"
479,-0.0793,"Frequency regulation signal (positive=discharge, negative=charge)"
480,0.0529,"Frequency regulation signal (positive=discharge, negative=charge)"
481,0.2688,"Frequency regulation signal (positive=discharge, negative=charge)"
482,0.1127,"Frequency regulation signal (positive=discharge, negative=charge)"
483,0.1783,"Frequency regulation signal (positive=discharge, negative=charge)"
484,-0.0986,"Frequency regulation signal (positive=discharge, negative=charge)"
485,0.0411,"Frequency regulation signal (positive=discharge, negative=charge)"
486,0.4376,"Frequency regulation signal (positive=discharge, negative=charge)"
487,0.1785,"Frequency regulation signal (positive=discharge, negative=charge)"
488,0.3068,"Frequency regulation signal (positive=discharge, negative=charge)"
489,-0.0285,"Frequency regulation signal (positive=discharge, negative=charge)"
490,0.0314,"Frequency regulation signal (positive=discharge, negative=charge)"
491,0.5936,"Frequency regulation signal (positive=discharge, negative=charge)"
492,0.2194,"Frequency regulation signal (positive=discharge, negative=charge)"
493,-0.2739,"Frequency regulation signal (positive=discharge, negative=charge)"
494,0.162,"Frequency regulation signal (positive=discharge, negative=charge)"
495,0.3319,"Frequency regulation signal (positive=discharge, negative=charge)"
496,0.3821,"Frequency regulation signal (positive=discharge, negative=charge)"
497,0.5067,"Frequency regulation signal (positive=discharge, negative=charge)"
498,0.0557,"Frequency regulation signal (positive=discharge, negative=charge)"
499,-0.1513,"Frequency regulation signal (positive=discharge, negative=charge)"
500,0.5605,"Frequency regulation signal (positive=discharge, negative=charge)"
501,0.9766,"Frequency regulation signal (positive=discharge, negative=charge)"
502,0.1227,"Frequency regulation signal (positive=discharge, negative=charge)"
503,0.068,"Frequency regulation signal (positive=discharge, negative=charge)"
504,-0.3707,"Frequency regulation signal (positive=discharge, negative=charge)"
505,-0.1226,"Frequency regulation signal (positive=discharge, negative=charge)"
506,0.101,"Frequency regulation signal (positive=discharge, negative=charge)"
507,-0.0679,"Frequency regulation signal (positive=discharge, negative=charge)"
508,-0.2115,"Frequency regulation signal (positive=discharge, negative=charge)"
509,-0.4441,"Frequency regulation signal (positive=discharge, negative=charge)"
510,0.1251,"Frequency regulation signal (positive=discharge, negative=charge)"
511,0.4107,"Frequency regulation signal (positive=discharge, negative=charge)"
512,0.3158,"Frequency regulation signal (positive=discharge, negative=charge)"
513,-0.143,"Frequency regulation signal (positive=discharge, negative=charge)"
514,-0.1919,"Frequency regulation signal (positive=discharge, negative=charge)"
515,0.3183,"Frequency regulation signal (positive=discharge, negative=charge)"
516,0.4831,"Frequency regulation signal (positive=discharge, negative=charge)"
517,-0.0085,"Frequency regulation signal (positive=discharge, negative=charge)"
518,-0.2396,"Frequency regulation signal (positive=discharge, negative=charge)"
519,-0.304,"Frequency regulation signal (positive=discharge, negative=charge)"
520,-0.5665,"Frequency regulation signal (positive=discharge, negative=charge)"
521,0.126,"Frequency regulation signal (positive=discharge, negative=charge)"
522,-0.2203,"Frequency regulation signal (positive=discharge, negative=charge)"
523,-0.2888,"Frequency regulation signal (positive=discharge, negative=charge)"
524,-0.599,"Frequency regulation signal (positive=discharge, negative=charge)"
525,-0.4423,"Frequency regulation signal (positive=discharge, negative=charge)"
526,-0.041,"Frequency regulation signal (positive=discharge, negative=charge)"
527,0.2537,"Frequency regulation signal (positive=discharge, negative=charge)"
528,-0.0105,"Frequency regulation signal (positive=discharge, negative=charge)"
529,-0.3372,"Frequency regulation signal (positive=discharge, negative=charge)"
530,0.236,"Frequency regulation signal (positive=discharge, negative=charge)"
531,0.0146,"Frequency regulation signal (positive=discharge, negative=charge)"
532,0.1579,"Frequency regulation signal (positive=discharge, negative=charge)"
533,-0.494,"Frequency regulation signal (positive=discharge, negative=charge)"
534,-0.555,"Frequency regulation signal (positive=discharge, negative=charge)"
535,-0.1739,"Frequency regulation signal (positive=discharge, negative=charge)"
536,-0.0824,"Frequency regulation signal (positive=discharge, negative=charge)"
537,-0.0732,"Frequency regulation signal (positive=discharge, negative=charge)"
538,-0.0912,"Frequency regulation signal (positive=discharge, negative=charge)"
539,-0.4333,"Frequency regulation signal (positive=discharge, negative=charge)"
540,0.2291,"Frequency regulation signal (positive=discharge, negative=charge)"
541,0.2181,"Frequency regulation signal (positive=discharge, negative=charge)"
542,0.5225,"Frequency regulation signal (positive=discharge, negative=charge)"
543,0.409,"Frequency regulation signal (positive=discharge, negative=charge)"
544,-0.4567,"Frequency regulation signal (positive=discharge, negative=charge)"
545,0.1495,"Frequency regulation signal (positive=discharge, negative=charge)"
546,0.6652,"Frequency regulation signal (positive=discharge, negative=charge)"
547,0.3371,"Frequency regulation signal (positive=discharge, negative=charge)"
548,0.0279,"Frequency regulation signal (positive=discharge, negative=charge)"
549,-0.3413,"Frequency regulation signal (positive=discharge, negative=charge)"
550,0.0335,"Frequency regulation signal (positive=discharge, negative=charge)"
551,0.2508,"Frequency regulation signal (positive=discharge, negative=charge)"
552,0.4199,"Frequency regulation signal (positive=discharge, negative=charge)"
553,-0.0685,"Frequency regulation signal (positive=discharge, negative=charge)"
554,-0.0914,"Frequency regulation signal (positive=discharge, negative=charge)"
555,0.1252,"Frequency regulation signal (positive=discharge, negative=charge)"
556,0.4744,"Frequency regulation signal (positive=discharge, negative=charge)"
557,0.441,"Frequency regulation signal (positive=discharge, negative=charge)"
558,0.2915,"Frequency regulation signal (positive=discharge, negative=charge)"
559,0.023,"Frequency regulation signal (positive=discharge, negative=charge)"
560,0.416,"Frequency regulation signal (positive=discharge, negative=charge)"
561,0.9921,"Frequency regulation signal (positive=discharge, negative=charge)"
562,0.5574,"Frequency regulation signal (positive=discharge, negative=charge)"
563,-0.127,"Frequency regulation signal (positive=discharge, negative=charge)"
564,-0.0194,"Frequency regulation signal (positive=discharge, negative=charge)"
565,-0.1248,"Frequency regulation signal (positive=discharge, negative=charge)"
566,-0.2053,"Frequency regulation signal (positive=discharge, negative=charge)"
567,-0.1148,"Frequency regulation signal (positive=discharge, negative=charge)"
568,-0.6123,"Frequency regulation signal (positive=discharge, negative=charge)"
569,-0.3668,"Frequency regulation signal (positive=discharge, negative=charge)"
570,0.0564,"Frequency regulation signal (positive=discharge, negative=charge)"
571,0.7364,"Frequency regulation signal (positive=discharge, negative=charge)"
572,0.41,"Frequency regulation signal (positive=discharge, negative=charge)"
573,-0.0244,"Frequency regulation signal (positive=discharge, negative=charge)"
574,0.0697,"Frequency regulation signal (positive=discharge, negative=charge)"
575,-0.2919,"Frequency regulation signal (positive=discharge, negative=charge)"
576,0.4113,"Frequency regulation signal (positive=discharge, negative=charge)"
577,0.3211,"Frequency regulation signal (positive=discharge, negative=charge)"
578,-0.5731,"Frequency regulation signal (positive=discharge, negative=charge)"
579,-0.2449,"Frequency regulation signal (positive=discharge, negative=charge)"
580,-0.1854,"Frequency regulation signal (positive=discharge, negative=charge)"
581,-0.0844,"Frequency regulation signal (positive=discharge, negative=charge)"
582,0.0186,"Frequency regulation signal (positive=discharge, negative=charge)"
583,0.0307,"Frequency regulation signal (positive=discharge, negative=charge)"
584,-0.4301,"Frequency regulation signal (positive=discharge, negative=charge)"
585,-0.0526,"Frequency regulation signal (positive=discharge, negative=charge)"
586,0.1723,"Frequency regulation signal (positive=discharge, negative=charge)"
587,0.055,"Frequency regulation signal (positive=discharge, negative=charge)"
588,0.0835,"Frequency regulation signal (positive=discharge, negative=charge)"
589,-0.3474,"Frequency regulation signal (positive=discharge, negative=charge)"
590,0.103,"Frequency regulation signal (positive=discharge, negative=charge)"
591,0.2306,"Frequency regulation signal (positive=discharge, negative=charge)"
592,0.2465,"Frequency regulation signal (positive=discharge, negative=charge)"
593,-0.2062,"Frequency regulation signal (positive=discharge, negative=charge)"
594,-0.2385,"Frequency regulation signal (positive=discharge, negative=charge)"
595,-0.3053,"Frequency regulation signal (positive=discharge, negative=charge)"
596,0.0149,"Frequency regulation signal (positive=discharge, negative=charge)"
597,-0.2121,"Frequency regulation signal (positive=discharge, negative=charge)"
598,-0.4009,"Frequency regulation signal (positive=discharge, negative=charge)"
599,-0.2636,"Frequency regulation signal (positive=discharge, negative=charge)"
600,0.1928,"Frequency regulation signal (positive=discharge, negative=charge)"
601,0.2388,"Frequency regulation signal (positive=discharge, negative=charge)"
602,0.5695,"Frequency regulation signal (positive=discharge, negative=charge)"
603,0.371,"Frequency regulation signal (positive=discharge, negative=charge)"
604,0.0975,"Frequency regulation signal (positive=discharge, negative=charge)"
605,0.6615,"Frequency regulation signal (positive=discharge, negative=charge)"
606,0.3748,"Frequency regulation signal (positive=discharge, negative=charge)"
607,0.1084,"Frequency regulation signal (positive=discharge, negative=charge)"
608,-0.4218,"Frequency regulation signal (positive=discharge, negative=charge)"
609,0.0561,"Frequency regulation signal (positive=discharge, negative=charge)"
610,0.1254,"Frequency regulation signal (positive=discharge, negative=charge)"
611,0.2493,"Frequency regulation signal (positive=discharge, negative=charge)"
612,0.2215,"Frequency regulation signal (positive=discharge, negative=charge)"
613,-0.3651,"Frequency regulation signal (positive=discharge, negative=charge)"
614,0.3073,"Frequency regulation signal (positive=discharge, negative=charge)"
615,0.2114,"Frequency regulation signal (positive=discharge, negative=charge)"
616,0.5717,"Frequency regulation signal (positive=discharge, negative=charge)"
617,0.6502,"Frequency regulation signal (positive=discharge, negative=charge)"
618,0.2869,"Frequency regulation signal (positive=discharge, negative=charge)"
619,0.1297,"Frequency regulation signal (positive=discharge, negative=charge)"
620,0.1787,"Frequency regulation signal (positive=discharge, negative=charge)"
621,0.6503,"Frequency regulation signal (positive=discharge, negative=charge)"
622,0.7369,"Frequency regulation signal (positive=discharge, negative=charge)"
623,0.184,"Frequency regulation signal (positive=discharge, negative=charge)"
624,0.0365,"Frequency regulation signal (positive=discharge, negative=charge)"
625,-0.1676,"Frequency regulation signal (positive=discharge, negative=charge)"
626,-0.0185,"Frequency regulation signal (positive=discharge, negative=charge)"
627,0.0387,"Frequency regulation signal (positive=discharge, negative=charge)"
628,-0.2507,"Frequency regulation signal (positive=discharge, negative=charge)"
629,-0.1011,"Frequency regulation signal (positive=discharge, negative=charge)"
630,-0.3072,"Frequency regulation signal (positive=discharge, negative=charge)"
631,0.6846,"Frequency regulation signal (positive=discharge, negative=charge)"
632,0.2907,"Frequency regulation signal (positive=discharge, negative=charge)"
633,-0.0885,"Frequency regulation signal (positive=discharge, negative=charge)"
634,-0.3201,"Frequency regulation signal (positive=discharge, negative=charge)"
635,-0.2038,"Frequency regulation signal (positive=discharge, negative=charge)"
636,0.5056,"Frequency regulation signal (positive=discharge, negative=charge)"
637,0.1592,"Frequency regulation signal (positive=discharge, negative=charge)"
638,-0.5585,"Frequency regulation signal (positive=discharge, negative=charge)"
639,-0.7541,"Frequency regulation signal (positive=discharge, negative=charge)"
640,-0.3429,"Frequency regulation signal (positive=discharge, negative=charge)"
641,0.308,"Frequency regulation signal (positive=discharge, negative=charge)"
642,-0.1824,"Frequency regulation signal (positive=discharge, negative=charge)"
643,-0.7449,"Frequency regulation signal (positive=discharge, negative=charge)"
644,-0.5387,"Frequency regulation signal (positive=discharge, negative=charge)"
645,-0.1798,"Frequency regulation signal (positive=discharge, negative=charge)"
646,-0.2972,"Frequency regulation signal (positive=discharge, negative=charge)"
647,0.1901,"Frequency regulation signal (positive=discharge, negative=charge)"
648,-0.1515,"Frequency regulation signal (positive=discharge, negative=charge)"
649,-0.0615,"Frequency regulation signal (positive=discharge, negative=charge)"
650,0.4338,"Frequency regulation signal (positive=discharge, negative=charge)"
651,0.5268,"Frequency regulation signal (positive=discharge, negative=charge)"
652,0.0737,"Frequency regulation signal (positive=discharge, negative=charge)"
653,-0.5171,"Frequency regulation signal (positive=discharge, negative=charge)"
654,0.0439,"Frequency regulation signal (positive=discharge, negative=charge)"
655,-0.2156,"Frequency regulation signal (positive=discharge, negative=charge)"
656,0.0476,"Frequency regulation signal (positive=discharge, negative=charge)"
657,-0.0457,"Frequency regulation signal (positive=discharge, negative=charge)"
658,-0.2968,"Frequency regulation signal (positive=discharge, negative=charge)"
659,-0.3916,"Frequency regulation signal (positive=discharge, negative=charge)"
660,-0.0965,"Frequency regulation signal (positive=discharge, negative=charge)"
661,0.2895,"Frequency regulation signal (positive=discharge, negative=charge)"
662,0.3655,"Frequency regulation signal (positive=discharge, negative=charge)"
663,-0.0317,"Frequency regulation signal (positive=discharge, negative=charge)"
664,-0.1513,"Frequency regulation signal (positive=discharge, negative=charge)"
665,0.2844,"Frequency regulation signal (positive=discharge, negative=charge)"
666,0.4539,"Frequency regulation signal (positive=discharge, negative=charge)"
667,0.632,"Frequency regulation signal (positive=discharge, negative=charge)"
668,-0.6201,"Frequency regulation signal (positive=discharge, negative=charge)"
669,-0.049,"Frequency regulation signal (positive=discharge, negative=charge)"
670,0.2189,"Frequency regulation signal (positive=discharge, negative=charge)"
671,-0.1774,"Frequency regulation signal (positive=discharge, negative=charge)"
672,0.0728,"Frequency regulation signal (positive=discharge, negative=charge)"
673,-0.2394,"Frequency regulation signal (positive=discharge, negative=charge)"
674,-0.4854,"Frequency regulation signal (positive=discharge, negative=charge)"
675,0.006,"Frequency regulation signal (positive=discharge, negative=charge)"
676,0.3039,"Frequency regulation signal (positive=discharge, negative=charge)"
677,0.8301,"Frequency regulation signal (positive=discharge, negative=charge)"
678,0.3528,"Frequency regulation signal (positive=discharge, negative=charge)"
679,0.3137,"Frequency regulation signal (positive=discharge, negative=charge)"
680,0.4554,"Frequency regulation signal (positive=discharge, negative=charge)"
681,0.3064,"Frequency regulation signal (positive=discharge, negative=charge)"
682,0.2323,"Frequency regulation signal (positive=discharge, negative=charge)"
683,-0.0115,"Frequency regulation signal (positive=discharge, negative=charge)"
684,-0.5497,"Frequency regulation signal (positive=discharge, negative=charge)"
685,0.0515,"Frequency regulation signal (positive=discharge, negative=charge)"
686,0.1058,"Frequency regulation signal (positive=discharge, negative=charge)"
687,-0.036,"Frequency regulation signal (positive=discharge, negative=charge)"
688,-0.1452,"Frequency regulation signal (positive=discharge, negative=charge)"
689,-0.2558,"Frequency regulation signal (positive=discharge, negative=charge)"
690,-0.0669,"Frequency regulation signal (positive=discharge, negative=charge)"
691,0.5856,"Frequency regulation signal (positive=discharge, negative=charge)"
692,0.0815,"Frequency regulation signal (positive=discharge, negative=charge)"
693,0.0942,"Frequency regulation signal (positive=discharge, negative=charge)"
694,-0.0254,"Frequency regulation signal (positive=discharge, negative=charge)"
695,0.0391,"Frequency regulation signal (positive=discharge, negative=charge)"
696,0.3812,"Frequency regulation signal (positive=discharge, negative=charge)"
697,-0.1302,"Frequency regulation signal (positive=discharge, negative=charge)"
698,-0.1425,"Frequency regulation signal (positive=discharge, negative=charge)"
699,-0.5582,"Frequency regulation signal (positive=discharge, negative=charge)"
700,-0.4056,"Frequency regulation signal (positive=discharge, negative=charge)"
701,0.159,"Frequency regulation signal (positive=discharge, negative=charge)"
702,-0.2966,"Frequency regulation signal (positive=discharge, negative=charge)"
703,-0.7515,"Frequency regulation signal (positive=discharge, negative=charge)"
704,-0.8255,"Frequency regulation signal (positive=discharge, negative=charge)"
705,-0.0301,"Frequency regulation signal (positive=discharge, negative=charge)"
706,-0.0403,"Frequency regulation signal (positive=discharge, negative=charge)"
707,0.5252,"Frequency regulation signal (positive=discharge, negative=charge)"
708,-0.5461,"Frequency regulation signal (positive=discharge, negative=charge)"
709,0.1123,"Frequency regulation signal (positive=discharge, negative=charge)"
710,0.0816,"Frequency regulation signal (positive=discharge, negative=charge)"
711,0.2573,"Frequency regulation signal (positive=discharge, negative=charge)"
712,-0.007,"Frequency regulation signal (positive=discharge, negative=charge)"
713,-0.2426,"Frequency regulation signal (positive=discharge, negative=charge)"
714,-0.5023,"Frequency regulation signal (positive=discharge, negative=charge)"
715,-0.0332,"Frequency regulation signal (positive=discharge, negative=charge)"
716,0.0419,"Frequency regulation signal (positive=discharge, negative=charge)"
717,-0.0367,"Frequency regulation signal (positive=discharge, negative=charge)"
718,-0.4346,"Frequency regulation signal (positive=discharge, negative=charge)"
719,-0.4,"Frequency regulation signal (positive=discharge, negative=charge)"
720,0.0534,"Frequency regulation signal (positive=discharge, negative=charge)"
721,0.0318,"Frequency regulation signal (positive=discharge, negative=charge)"
722,0.0774,"Frequency regulation signal (positive=discharge, negative=charge)"
723,0.199,"Frequency regulation signal (positive=discharge, negative=charge)"
724,-0.0009,"Frequency regulation signal (positive=discharge, negative=charge)"
725,0.2006,"Frequency regulation signal (positive=discharge, negative=charge)"
726,0.4826,"Frequency regulation signal (positive=discharge, negative=charge)"
727,0.3756,"Frequency regulation signal (positive=discharge, negative=charge)"
728,-0.2251,"Frequency regulation signal (positive=discharge, negative=charge)"
729,-0.4476,"Frequency regulation signal (positive=discharge, negative=charge)"
730,-0.0164,"Frequency regulation signal (positive=discharge, negative=charge)"
731,0.015,"Frequency regulation signal (positive=discharge, negative=charge)"
732,0.1966,"Frequency regulation signal (positive=discharge, negative=charge)"
733,-0.5307,"Frequency regulation signal (positive=discharge, negative=charge)"
734,-0.0256,"Frequency regulation signal (positive=discharge, negative=charge)"
735,0.2293,"Frequency regulation signal (positive=discharge, negative=charge)"
736,0.5503,"Frequency regulation signal (positive=discharge, negative=charge)"
737,0.6507,"Frequency regulation signal (positive=discharge, negative=charge)"
738,0.4723,"Frequency regulation signal (positive=discharge, negative=charge)"
739,0.2365,"Frequency regulation signal (positive=discharge, negative=charge)"
740,-0.0815,"Frequency regulation signal (positive=discharge, negative=charge)"
741,0.2504,"Frequency regulation signal (positive=discharge, negative=charge)"
742,0.1863,"Frequency regulation signal (positive=discharge, negative=charge)"
743,-0.1299,"Frequency regulation signal (positive=discharge, negative=charge)"
744,-0.2289,"Frequency regulation signal (positive=discharge, negative=charge)"
745,-0.2614,"Frequency regulation signal (positive=discharge, negative=charge)"
746,0.165,"Frequency regulation signal (positive=discharge, negative=charge)"
747,-0.1379,"Frequency regulation signal (positive=discharge, negative=charge)"
748,-0.4348,"Frequency regulation signal (positive=discharge, negative=charge)"
749,-0.6508,"Frequency regulation signal (positive=discharge, negative=charge)"
750,-0.205,"Frequency regulation signal (positive=discharge, negative=charge)"
751,0.059,"Frequency regulation signal (positive=discharge, negative=charge)"
752,0.0765,"Frequency regulation signal (positive=discharge, negative=charge)"
753,0.1554,"Frequency regulation signal (positive=discharge, negative=charge)"
754,-0.3589,"Frequency regulation signal (positive=discharge, negative=charge)"
755,0.5996,"Frequency regulation signal (positive=discharge, negative=charge)"
756,0.3885,"Frequency regulation signal (positive=discharge, negative=charge)"
757,0.13,"Frequency regulation signal (positive=discharge, negative=charge)"
758,-0.5238,"Frequency regulation signal (positive=discharge, negative=charge)"
759,-0.4077,"Frequency regulation signal (positive=discharge, negative=charge)"
760,-0.4421,"Frequency regulation signal (positive=discharge, negative=charge)"
761,-0.0518,"Frequency regulation signal (positive=discharge, negative=charge)"
762,0.3282,"Frequency regulation signal (positive=discharge, negative=charge)"
763,-0.5158,"Frequency regulation signal (positive=discharge, negative=charge)"
764,-0.312,"Frequency regulation signal (positive=discharge, negative=charge)"
765,-0.3171,"Frequency regulation signal (positive=discharge, negative=charge)"
766,0.182,"Frequency regulation signal (positive=discharge, negative=charge)"
767,0.5024,"Frequency regulation signal (positive=discharge, negative=charge)"
768,-0.282,"Frequency regulation signal (positive=discharge, negative=charge)"
769,0.1095,"Frequency regulation signal (positive=discharge, negative=charge)"
770,0.1547,"Frequency regulation signal (positive=discharge, negative=charge)"
771,0.1385,"Frequency regulation signal (positive=discharge, negative=charge)"
772,0.2018,"Frequency regulation signal (positive=discharge, negative=charge)"
773,-0.1542,"Frequency regulation signal (positive=discharge, negative=charge)"
774,-0.3967,"Frequency regulation signal (positive=discharge, negative=charge)"
775,-0.5921,"Frequency regulation signal (positive=discharge, negative=charge)"
776,-0.1517,"Frequency regulation signal (positive=discharge, negative=charge)"
777,-0.1419,"Frequency regulation signal (positive=discharge, negative=charge)"
778,-0.4027,"Frequency regulation signal (positive=discharge, negative=charge)"
779,-0.2907,"Frequency regulation signal (positive=discharge, negative=charge)"
780,0.0017,"Frequency regulation signal (positive=discharge, negative=charge)"
781,0.0807,"Frequency regulation signal (positive=discharge, negative=charge)"
782,0.3962,"Frequency regulation signal (positive=discharge, negative=charge)"
783,0.1468,"Frequency regulation signal (positive=discharge, negative=charge)"
784,0.0509,"Frequency regulation signal (positive=discharge, negative=charge)"
785,0.427,"Frequency regulation signal (positive=discharge, negative=charge)"
786,0.6194,"Frequency regulation signal (positive=discharge, negative=charge)"
787,0.3721,"Frequency regulation signal (positive=discharge, negative=charge)"
788,-0.1572,"Frequency regulation signal (positive=discharge, negative=charge)"
789,-0.6492,"Frequency regulation signal (positive=discharge, negative=charge)"
790,0.0046,"Frequency regulation signal (positive=discharge, negative=charge)"
791,0.2258,"Frequency regulation signal (positive=discharge, negative=charge)"
792,0.1438,"Frequency regulation signal (positive=discharge, negative=charge)"
793,-0.4713,"Frequency regulation signal (positive=discharge, negative=charge)"
794,-0.4719,"Frequency regulation signal (positive=discharge, negative=charge)"
795,0.3195,"Frequency regulation signal (positive=discharge, negative=charge)"
796,0.4659,"Frequency regulation signal (positive=discharge, negative=charge)"
797,0.5652,"Frequency regulation signal (positive=discharge, negative=charge)"
798,0.1205,"Frequency regulation signal (positive=discharge, negative=charge)"
799,0.0148,"Frequency regulation signal (positive=discharge, negative=charge)"
800,0.4471,"Frequency regulation signal (positive=discharge, negative=charge)"
801,0.3772,"Frequency regulation signal (positive=discharge, negative=charge)"
802,0.3046,"Frequency regulation signal (positive=discharge, negative=charge)"
803,-0.2526,"Frequency regulation signal (positive=discharge, negative=charge)"
804,-0.444,"Frequency regulation signal (positive=discharge, negative=charge)"
805,-0.2036,"Frequency regulation signal (positive=discharge, negative=charge)"
806,0.1468,"Frequency regulation signal (positive=discharge, negative=charge)"
807,-0.1079,"Frequency regulation signal (positive=discharge, negative=charge)"
808,-0.0878,"Frequency regulation signal (positive=discharge, negative=charge)"
809,-0.5739,"Frequency regulation signal (positive=discharge, negative=charge)"
810,-0.0833,"Frequency regulation signal (positive=discharge, negative=charge)"
811,0.2157,"Frequency regulation signal (positive=discharge, negative=charge)"
812,0.5344,"Frequency regulation signal (positive=discharge, negative=charge)"
813,-0.0405,"Frequency regulation signal (positive=discharge, negative=charge)"
814,0.0111,"Frequency regulation signal (positive=discharge, negative=charge)"
815,-0.2463,"Frequency regulation signal (positive=discharge, negative=charge)"
816,0.3184,"Frequency regulation signal (positive=discharge, negative=charge)"
817,0.2456,"Frequency regulation signal (positive=discharge, negative=charge)"
818,-0.3612,"Frequency regulation signal (positive=discharge, negative=charge)"
819,-0.3598,"Frequency regulation signal (positive=discharge, negative=charge)"
820,-0.4553,"Frequency regulation signal (positive=discharge, negative=charge)"
821,0.18,"Frequency regulation signal (positive=discharge, negative=charge)"
822,0.2514,"Frequency regulation signal (positive=discharge, negative=charge)"
823,-0.5937,"Frequency regulation signal (positive=discharge, negative=charge)"
824,-0.6546,"Frequency regulation signal (positive=discharge, negative=charge)"
825,0.0882,"Frequency regulation signal (positive=discharge, negative=charge)"
826,0.4793,"Frequency regulation signal (positive=discharge, negative=charge)"
827,0.0206,"Frequency regulation signal (positive=discharge, negative=charge)"
828,-0.2653,"Frequency regulation signal (positive=discharge, negative=charge)"
829,-0.3325,"Frequency regulation signal (positive=discharge, negative=charge)"
830,-0.2788,"Frequency regulation signal (positive=discharge, negative=charge)"
831,0.0431,"Frequency regulation signal (positive=discharge, negative=charge)"
832,-0.1488,"Frequency regulation signal (positive=discharge, negative=charge)"
833,-0.5254,"Frequency regulation signal (positive=discharge, negative=charge)"
834,-0.5519,"Frequency regulation signal (positive=discharge, negative=charge)"
835,-0.2566,"Frequency regulation signal (positive=discharge, negative=charge)"
836,0.2781,"Frequency regulation signal (positive=discharge, negative=charge)"
